unit,cycle,setting1,setting2,setting3,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21
95,198,0.0013,-0.0001,100.0,518.67,642.28,1590.39,1409.82,14.62,21.61,553.39,2388.08,9070.99,1.3,47.67,521.33,2388.05,8159.97,8.4566,0.03,395,2388,100.0,38.83,23.3629
67,19,-0.0037,-0.0004,100.0,518.67,642.4,1583.06,1402.67,14.62,21.61,554.38,2388.03,9064.2,1.3,47.33,522.49,2388.02,8141.73,8.4132,0.03,392,2388,100.0,38.88,23.3814
76,29,-0.0008,-0.0003,100.0,518.67,642.84,1592.65,1404.43,14.62,21.61,554.01,2388.07,9056.25,1.3,47.47,521.48,2388.12,8134.66,8.4613,0.03,394,2388,100.0,38.89,23.3389
50,158,0.0,-0.0002,100.0,518.67,642.75,1598.37,1418.15,14.62,21.61,552.23,2388.15,9093.64,1.3,47.5,520.71,2388.11,8167.54,8.4579,0.03,395,2388,100.0,38.44,23.2506
67,20,0.0009,0.0004,100.0,518.67,642.28,1586.77,1408.78,14.62,21.61,554.04,2388.04,9062.55,1.3,47.33,521.34,2388.05,8149.36,8.4208,0.03,393,2388,100.0,38.89,23.3844
57,88,-0.0028,-0.0003,100.0,518.67,642.75,1599.27,1408.98,14.62,21.61,553.58,2388.14,9045.86,1.3,47.64,521.61,2388.12,8130.21,8.4413,0.03,393,2388,100.0,38.91,23.2624
79,162,-0.0005,0.0004,100.0,518.67,642.92,1597.34,1409.63,14.62,21.61,552.79,2388.09,9066.09,1.3,47.69,521.36,2388.14,8152.79,8.446,0.03,393,2388,100.0,38.66,23.238
46,36,0.0023,-0.0004,100.0,518.67,642.14,1582.79,1398.65,14.62,21.61,554.65,2388.01,9060.26,1.3,47.37,522.28,2387.99,8136.86,8.4049,0.03,391,2388,100.0,38.96,23.4498
8,37,0.0016,-0.0005,100.0,518.67,642.86,1593.86,1409.9,14.62,21.61,553.36,2388.14,9034.65,1.3,47.65,521.28,2388.11,8124.45,8.4143,0.03,394,2388,100.0,38.83,23.2904
22,74,0.0012,-0.0001,100.0,518.67,643.31,1590.59,1407.23,14.62,21.61,552.96,2388.14,9040.94,1.3,47.54,520.98,2388.14,8129.43,8.4913,0.03,392,2388,100.0,38.72,23.1645
88,136,-0.0048,0.0004,100.0,518.67,642.96,1593.72,1412.92,14.62,21.61,552.9,2388.01,9083.55,1.3,47.5,521.7,2388.07,8152.53,8.4724,0.03,393,2388,100.0,39.02,23.3801
46,183,0.0035,0.0004,100.0,518.67,642.71,1589.82,1412.53,14.62,21.61,553.0,2388.09,9059.43,1.3,47.55,521.97,2388.11,8139.51,8.4479,0.03,394,2388,100.0,38.84,23.2896
47,181,-0.0035,0.0003,100.0,518.67,643.25,1596.7,1412.54,14.62,21.61,553.07,2388.14,9086.48,1.3,47.79,521.43,2388.1,8159.96,8.4695,0.03,394,2388,100.0,38.6,23.1514
44,159,0.0025,-0.0003,100.0,518.67,643.36,1593.94,1420.52,14.62,21.61,553.36,2388.16,9083.02,1.3,47.8,520.16,2388.18,8153.24,8.4478,0.03,394,2388,100.0,38.68,23.2056
82,27,-0.0026,0.0001,100.0,518.67,642.15,1582.41,1397.58,14.62,21.61,554.6,2388.02,9067.98,1.3,47.19,522.7,2387.98,8145.04,8.4044,0.03,390,2388,100.0,39.0,23.3612
11,64,0.0002,-0.0003,100.0,518.67,641.97,1584.22,1398.68,14.62,21.61,555.04,2387.97,9050.78,1.3,47.37,522.12,2388.01,8138.86,8.3873,0.03,391,2388,100.0,39.04,23.2613
95,108,0.0004,0.0005,100.0,518.67,642.13,1587.76,1397.98,14.62,21.61,554.02,2388.0,9067.8,1.3,47.33,522.49,2388.0,8155.49,8.3961,0.03,392,2388,100.0,39.04,23.451
25,168,0.0036,0.0002,100.0,518.67,642.48,1599.29,1412.65,14.62,21.61,552.39,2388.12,9068.89,1.3,47.72,521.32,2388.18,8148.48,8.4535,0.03,394,2388,100.0,38.98,23.3493
46,39,-0.0001,-0.0003,100.0,518.67,642.51,1587.55,1400.02,14.62,21.61,553.54,2388.0,9059.85,1.3,47.16,522.85,2388.02,8142.67,8.3806,0.03,392,2388,100.0,38.95,23.4235
87,152,0.0001,0.0,100.0,518.67,643.45,1600.35,1419.37,14.62,21.61,552.31,2388.24,9059.11,1.3,48.03,520.49,2388.21,8135.47,8.4871,0.03,394,2388,100.0,38.63,23.2057
2,99,-0.0034,-0.0004,100.0,518.67,642.04,1585.48,1400.97,14.62,21.61,554.43,2388.05,9054.46,1.3,47.13,522.5,2388.0,8138.18,8.4179,0.03,393,2388,100.0,39.15,23.3414
43,112,-0.0004,0.0002,100.0,518.67,642.16,1587.85,1403.45,14.62,21.61,554.54,2388.05,9055.75,1.3,47.47,521.63,2388.14,8135.53,8.4156,0.03,393,2388,100.0,39.0,23.3487
78,39,0.0023,-0.0001,100.0,518.67,642.21,1586.08,1392.81,14.62,21.61,554.99,2388.01,9057.71,1.3,47.1,522.36,2387.98,8146.05,8.3929,0.03,392,2388,100.0,39.13,23.3995
26,181,0.0034,0.0002,100.0,518.67,643.64,1595.3,1419.93,14.62,21.61,552.03,2388.1,9115.11,1.3,47.99,520.52,2388.17,8183.51,8.5251,0.03,397,2388,100.0,38.68,23.1598
98,51,0.0031,0.0002,100.0,518.67,642.37,1585.49,1397.87,14.62,21.61,553.86,2388.04,9063.93,1.3,47.37,522.18,2388.04,8151.65,8.4103,0.03,393,2388,100.0,39.06,23.2097
32,39,-0.0036,-0.0003,100.0,518.67,642.89,1588.25,1402.41,14.62,21.61,552.66,2388.15,9042.74,1.3,47.56,521.49,2388.11,8124.09,8.4624,0.03,391,2388,100.0,38.69,23.2767
82,10,0.0002,-0.0005,100.0,518.67,641.57,1580.98,1395.96,14.62,21.6,554.8,2388.0,9057.55,1.3,47.1,522.84,2387.94,8146.73,8.4018,0.03,391,2388,100.0,39.05,23.6184
71,106,0.001,-0.0001,100.0,518.67,642.32,1590.9,1406.95,14.62,21.61,553.38,2388.07,9053.88,1.3,47.45,521.25,2388.09,8133.62,8.4061,0.03,393,2388,100.0,38.71,23.1861
94,241,-0.0018,0.0002,100.0,518.67,643.39,1597.99,1421.07,14.62,21.61,552.64,2388.15,9122.98,1.3,47.94,520.95,2388.13,8193.1,8.503,0.03,395,2388,100.0,38.52,23.1268
19,156,-0.0029,-0.0002,100.0,518.67,643.44,1601.17,1430.45,14.62,21.61,550.9,2388.27,9035.58,1.3,48.14,519.67,2388.27,8120.36,8.538,0.03,396,2388,100.0,38.47,23.0858
93,138,0.0005,-0.0002,100.0,518.67,643.05,1592.87,1418.14,14.62,21.61,552.26,2388.18,9068.3,1.3,47.86,520.81,2388.18,8138.89,8.5216,0.03,395,2388,100.0,38.48,23.1711
25,171,-0.0028,-0.0002,100.0,518.67,642.56,1588.49,1410.0,14.62,21.61,552.9,2388.13,9073.13,1.3,47.62,520.9,2388.15,8146.61,8.4526,0.03,395,2388,100.0,38.64,23.1895
92,284,-0.0005,0.0001,100.0,518.67,643.02,1599.5,1416.22,14.62,21.61,553.1,2388.1,9092.13,1.3,47.78,520.75,2388.11,8161.56,8.4498,0.03,394,2388,100.0,38.61,23.1949
60,134,-0.0035,0.0002,100.0,518.67,642.97,1590.9,1419.92,14.62,21.61,552.62,2388.1,9082.52,1.3,47.56,520.64,2388.13,8153.1,8.4321,0.03,395,2388,100.0,38.68,23.176
69,70,0.0029,-0.0004,100.0,518.67,642.1,1587.68,1398.62,14.62,21.61,553.66,2388.09,9060.77,1.3,47.46,521.39,2388.04,8142.28,8.4369,0.03,392,2388,100.0,38.93,23.2777
7,227,0.0004,-0.0001,100.0,518.67,643.3,1600.96,1416.6,14.62,21.61,551.9,2388.17,9080.86,1.3,47.98,520.73,2388.17,8150.49,8.4869,0.03,395,2388,100.0,38.7,23.2282
11,130,-0.0012,0.0005,100.0,518.67,642.17,1586.67,1399.84,14.62,21.61,553.74,2388.05,9060.72,1.3,47.21,521.98,2388.03,8144.99,8.4119,0.03,392,2388,100.0,39.05,23.2464
28,63,0.0025,-0.0003,100.0,518.67,642.52,1583.53,1398.93,14.62,21.61,554.83,2388.04,9066.6,1.3,47.26,522.63,2387.99,8140.3,8.386,0.03,393,2388,100.0,39.22,23.3433
75,209,0.0003,0.0004,100.0,518.67,643.37,1600.45,1427.14,14.62,21.61,552.04,2388.29,9039.25,1.3,48.04,519.81,2388.28,8114.19,8.5039,0.03,395,2388,100.0,38.44,23.0935
70,67,0.0008,0.0001,100.0,518.67,643.05,1589.46,1407.97,14.62,21.61,553.48,2388.06,9065.02,1.3,47.39,521.46,2388.05,8140.76,8.4314,0.03,393,2388,100.0,38.77,23.3704
87,128,-0.0001,0.0002,100.0,518.67,642.63,1595.88,1409.41,14.62,21.61,552.55,2388.1,9065.79,1.3,47.75,520.61,2388.14,8138.14,8.4366,0.03,395,2388,100.0,38.68,23.1833
64,23,0.0006,-0.0004,100.0,518.67,643.49,1590.75,1404.34,14.62,21.61,553.52,2388.11,9058.45,1.3,47.47,522.13,2388.04,8133.45,8.4454,0.03,391,2388,100.0,39.0,23.3449
22,48,-0.0012,-0.0001,100.0,518.67,642.32,1593.99,1419.52,14.62,21.61,553.52,2388.12,9043.64,1.3,47.7,520.89,2388.16,8126.58,8.4535,0.03,392,2388,100.0,38.75,23.2646
74,67,-0.0011,0.0001,100.0,518.67,642.09,1593.55,1407.41,14.62,21.61,553.95,2388.1,9069.89,1.3,47.23,521.64,2388.06,8142.57,8.4062,0.03,392,2388,100.0,38.78,23.1994
17,159,0.0001,-0.0005,100.0,518.67,642.72,1586.39,1393.73,14.62,21.61,553.71,2388.03,9074.0,1.3,47.42,521.75,2388.05,8153.07,8.4038,0.03,393,2388,100.0,38.8,23.4214
99,159,0.001,0.0005,100.0,518.67,643.58,1589.34,1423.07,14.62,21.61,552.92,2388.15,9059.55,1.3,47.78,520.47,2388.18,8127.92,8.4303,0.03,394,2388,100.0,38.78,23.1769
70,10,0.0005,-0.0001,100.0,518.67,642.14,1587.3,1402.78,14.62,21.61,553.16,2388.02,9049.3,1.3,47.24,521.34,2388.04,8140.03,8.3876,0.03,392,2388,100.0,39.0,23.3742
92,54,0.002,0.0003,100.0,518.67,642.84,1579.56,1403.6,14.62,21.61,553.76,2388.05,9050.21,1.3,47.26,521.65,2388.03,8135.67,8.413,0.03,393,2388,100.0,39.02,23.4938
80,112,0.0,-0.0003,100.0,518.67,642.99,1595.11,1410.59,14.62,21.61,552.35,2388.13,9067.72,1.3,47.55,521.49,2388.11,8148.1,8.4741,0.03,394,2388,100.0,38.91,23.2714
76,203,-0.0012,0.0004,100.0,518.67,643.92,1603.83,1428.37,14.62,21.61,551.83,2388.3,9055.48,1.3,48.02,519.95,2388.21,8132.57,8.4963,0.03,396,2388,100.0,38.56,23.0698
5,160,0.0022,0.0004,100.0,518.67,642.28,1589.77,1407.02,14.62,21.61,553.84,2388.02,9082.33,1.3,47.11,521.65,2388.01,8156.5,8.4285,0.03,394,2388,100.0,38.7,23.3987
73,122,0.002,-0.0003,100.0,518.67,642.82,1592.53,1407.56,14.62,21.61,552.42,2388.18,9039.12,1.3,47.68,520.18,2388.13,8121.72,8.4749,0.03,395,2388,100.0,38.94,23.3425
26,127,-0.0,0.0001,100.0,518.67,642.77,1590.04,1408.29,14.62,21.61,553.12,2388.12,9064.6,1.3,47.68,521.0,2388.11,8135.74,8.4604,0.03,394,2388,100.0,38.7,23.1846
95,244,-0.0014,-0.0003,100.0,518.67,643.7,1591.34,1412.59,14.62,21.61,553.92,2388.08,9093.27,1.3,47.68,520.85,2388.12,8163.49,8.4792,0.03,397,2388,100.0,38.73,23.1629
12,159,0.0031,0.0004,100.0,518.67,643.63,1598.16,1430.89,14.62,21.61,551.85,2388.28,9045.15,1.3,48.1,520.13,2388.27,8119.77,8.4929,0.03,395,2388,100.0,38.48,23.175
31,127,-0.0001,0.0002,100.0,518.67,642.82,1586.92,1404.85,14.62,21.61,554.1,2388.01,9059.17,1.3,47.38,521.85,2388.06,8136.73,8.4483,0.03,392,2388,100.0,38.78,23.3477
3,128,-0.0008,-0.0003,100.0,518.67,642.22,1592.24,1409.32,14.62,21.61,553.67,2388.02,9084.04,1.3,47.55,522.15,2388.07,8169.19,8.4587,0.03,394,2388,100.0,38.89,23.3247
64,11,0.0004,0.0001,100.0,518.67,642.73,1586.57,1403.66,14.62,21.61,554.32,2388.09,9064.09,1.3,47.16,521.91,2388.08,8136.78,8.4122,0.03,393,2388,100.0,38.89,23.3741
56,269,0.0012,-0.0003,100.0,518.67,643.41,1602.31,1426.38,14.62,21.61,551.52,2388.17,9143.35,1.3,48.04,520.2,2388.18,8203.69,8.5215,0.03,396,2388,100.0,38.49,22.9305
79,33,-0.0022,0.0004,100.0,518.67,641.5,1584.15,1388.79,14.62,21.61,554.42,2388.0,9061.4,1.3,47.24,522.21,2388.0,8143.66,8.3574,0.03,392,2388,100.0,39.07,23.5076
32,157,-0.0006,-0.0004,100.0,518.67,643.08,1593.49,1423.07,14.62,21.61,552.54,2388.16,9066.76,1.3,47.82,520.4,2388.17,8142.08,8.468,0.03,393,2388,100.0,38.64,23.2297
7,47,-0.0019,0.0003,100.0,518.67,641.94,1587.72,1401.47,14.62,21.61,553.74,2387.99,9058.35,1.3,47.2,522.02,2387.98,8148.97,8.407,0.03,391,2388,100.0,38.98,23.2798
7,207,-0.0003,0.0001,100.0,518.67,642.98,1593.97,1413.89,14.62,21.61,552.98,2388.1,9075.3,1.3,47.81,521.11,2388.08,8151.96,8.4815,0.03,395,2388,100.0,38.88,23.3537
61,173,-0.0008,0.0004,100.0,518.67,643.77,1597.09,1423.02,14.62,21.61,551.95,2388.25,9046.24,1.3,48.02,520.46,2388.22,8120.92,8.4641,0.03,395,2388,100.0,38.5,23.1417
48,145,-0.0012,-0.0001,100.0,518.67,642.75,1581.33,1402.7,14.62,21.61,553.69,2388.03,9085.19,1.3,47.36,522.1,2388.03,8164.54,8.3969,0.03,392,2388,100.0,38.96,23.3868
3,25,-0.0005,-0.0004,100.0,518.67,642.24,1579.4,1390.93,14.62,21.61,554.21,2388.05,9055.08,1.3,47.17,522.15,2387.98,8134.79,8.3845,0.03,391,2388,100.0,38.9,23.4004
30,156,0.0024,0.0003,100.0,518.67,642.34,1586.8,1402.97,14.62,21.61,553.45,2388.12,9060.81,1.3,47.82,520.92,2388.13,8136.61,8.4352,0.03,393,2388,100.0,38.86,23.2616
89,140,-0.0002,-0.0003,100.0,518.67,642.23,1588.5,1408.7,14.62,21.61,553.49,2388.05,9054.33,1.3,47.44,521.41,2388.08,8131.39,8.4321,0.03,391,2388,100.0,38.91,23.2815
5,181,0.0012,-0.0,100.0,518.67,642.13,1585.09,1406.41,14.62,21.6,553.92,2388.05,9090.1,1.3,47.24,521.95,2388.0,8157.49,8.4198,0.03,392,2388,100.0,38.63,23.37
62,173,-0.0001,-0.0004,100.0,518.67,643.67,1601.42,1431.48,14.62,21.61,552.49,2388.29,9045.5,1.3,48.12,519.87,2388.31,8116.93,8.5266,0.03,395,2388,100.0,38.48,23.1565
47,6,-0.0013,0.0002,100.0,518.67,641.82,1571.99,1397.98,14.62,21.61,553.56,2387.95,9060.16,1.3,47.26,522.6,2388.02,8143.69,8.3724,0.03,392,2388,100.0,38.93,23.4899
54,121,0.0014,0.0004,100.0,518.67,642.34,1591.76,1405.67,14.62,21.61,554.89,2388.04,9066.2,1.3,47.37,522.27,2388.06,8145.4,8.4211,0.03,392,2388,100.0,38.88,23.3944
